Age,Gender,Education Level,Job Title,experience,Salary,test_score,interview_score
54,Male,PhD,Software Engineer Manager,17,195000,81,60
27,Male,Bachelor's Degree,Front end Developer,3,80000,98,62
42,Male,PhD,Senior Software Engineer,14,170000,61,77
38,Male,Master's Degree,Senior Software Engineer,10,155000,97,100
36,Male,Bachelor's Degree,Front end Developer,7,120000,98,73
29,Female,Master's Degree,Back end Developer,3,90000,85,90
41,Female,PhD,Software Engineer Manager,14,180000,74,86
33,Male,Bachelor's Degree,Full Stack Engineer,7,130000,93,76
42,Male,PhD,Senior Software Engineer,12,170000,99,88
28,Male,Bachelor's Degree,Back end Developer,2,70000,70,95
55,Male,PhD,Software Engineer Manager,18,210000,62,96
26,Female,Master's Degree,Front end Developer,1,55000,65,85
47,Male,PhD,Senior Project Engineer,16,190000,68,76
44,Female,PhD,Software Engineer Manager,11,165000,65,81
30,Male,Master's Degree,Full Stack Engineer,5,105000,68,84
39,Female,Master's Degree,Senior Software Engineer,11,160000,98,61
32,Male,Bachelor's Degree,Front end Developer,6,110000,90,81
50,Male,PhD,Software Engineer Manager,17,195000,91,64
27,Male,Bachelor's Degree,Back end Developer,3,85000,100,63
46,Male,PhD,Senior Project Engineer,14,180000,71,95
25,Female,Bachelor's Degree,Front end Developer,1,55000,67,65
43,Male,PhD,Senior Project Engineer,13,185000,67,80
35,Male,Bachelor's Degree,Back end Developer,8,140000,87,72
29,Female,Master's Degree,Back end Developer,3,90000,79,96
40,Female,PhD,Senior Software Engineer,12,160000,66,84
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,70,85
41,Male,PhD,Senior Project Engineer,13,185000,79,98
30,Male,Master's Degree,Full Stack Engineer,5,105000,75,79
33,Male,Bachelor's Degree,Front end Developer,6,110000,63,92
55,Male,PhD,Software Engineer Manager,18,210000,65,73
26,Female,Master's Degree,Front end Developer,1,55000,81,95
47,Male,PhD,Senior Project Engineer,16,190000,85,76
44,Female,PhD,Software Engineer Manager,11,165000,62,80
30,Male,Master's Degree,Full Stack Engineer,5,105000,100,75
39,Female,Master's Degree,Senior Software Engineer,11,160000,73,75
32,Male,Bachelor's Degree,Front end Developer,6,110000,70,79
50,Male,PhD,Software Engineer Manager,17,195000,77,88
27,Male,Bachelor's Degree,Back end Developer,3,85000,71,87
46,Male,PhD,Senior Project Engineer,14,180000,82,67
25,Female,Bachelor's Degree,Front end Developer,1,55000,71,83
43,Male,PhD,Senior Project Engineer,13,185000,72,62
35,Male,Bachelor's Degree,Back end Developer,8,140000,84,84
29,Female,Master's Degree,Back end Developer,3,90000,78,78
40,Female,PhD,Senior Software Engineer,12,160000,95,92
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,67,61
41,Male,PhD,Senior Project Engineer,13,185000,88,74
30,Male,Master's Degree,Full Stack Engineer,5,105000,91,81
33,Male,Bachelor's Degree,Front end Developer,6,110000,77,69
55,Male,PhD,Software Engineer Manager,18,210000,65,77
26,Female,Master's Degree,Front end Developer,1,55000,77,81
47,Male,PhD,Senior Project Engineer,16,190000,78,86
44,Female,PhD,Software Engineer Manager,11,165000,81,72
30,Male,Master's Degree,Full Stack Engineer,5,105000,96,92
39,Female,Master's Degree,Senior Software Engineer,11,160000,91,64
32,Male,Bachelor's Degree,Front end Developer,6,110000,100,85
50,Male,PhD,Software Engineer Manager,17,195000,62,72
27,Male,Bachelor's Degree,Back end Developer,3,85000,87,86
46,Male,PhD,Senior Project Engineer,14,180000,69,73
25,Female,Bachelor's Degree,Front end Developer,1,55000,94,83
43,Male,PhD,Senior Project Engineer,13,185000,88,62
35,Male,Bachelor's Degree,Back end Developer,8,140000,74,89
29,Female,Master's Degree,Back end Developer,3,90000,92,94
40,Female,PhD,Senior Software Engineer,12,160000,66,73
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,71,71
41,Male,PhD,Senior Project Engineer,13,185000,89,87
30,Male,Master's Degree,Full Stack Engineer,5,105000,80,88
33,Male,Bachelor's Degree,Front end Developer,6,110000,90,76
55,Male,PhD,Software Engineer Manager,18,210000,83,99
26,Female,Master's Degree,Front end Developer,1,55000,79,80
47,Male,PhD,Senior Project Engineer,16,190000,96,82
44,Female,PhD,Software Engineer Manager,11,165000,63,79
30,Male,Master's Degree,Full Stack Engineer,5,105000,87,70
39,Female,Master's Degree,Senior Software Engineer,11,160000,79,93
32,Male,Bachelor's Degree,Front end Developer,6,110000,83,69
50,Male,PhD,Software Engineer Manager,17,195000,91,69
27,Male,Bachelor's Degree,Back end Developer,3,85000,100,65
46,Male,PhD,Senior Project Engineer,14,180000,95,95
25,Female,Bachelor's Degree,Front end Developer,1,55000,93,83
43,Male,PhD,Senior Project Engineer,13,185000,95,71
35,Male,Bachelor's Degree,Back end Developer,8,140000,61,82
29,Female,Master's Degree,Back end Developer,3,90000,74,86
40,Female,PhD,Senior Software Engineer,12,160000,93,96
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,95,65
41,Male,PhD,Senior Project Engineer,13,185000,65,60
30,Male,Master's Degree,Full Stack Engineer,5,105000,98,65
33,Male,Bachelor's Degree,Front end Developer,6,110000,71,81
55,Male,PhD,Software Engineer Manager,18,210000,62,100
26,Female,Master's Degree,Front end Developer,1,55000,77,83
47,Male,PhD,Senior Project Engineer,16,190000,99,84
44,Female,PhD,Software Engineer Manager,11,165000,80,74
30,Male,Master's Degree,Full Stack Engineer,5,105000,74,85
39,Female,Master's Degree,Senior Software Engineer,11,160000,92,67
32,Male,Bachelor's Degree,Front end Developer,6,110000,94,83
50,Male,PhD,Software Engineer Manager,17,195000,85,97
27,Male,Bachelor's Degree,Back end Developer,3,85000,67,65
46,Male,PhD,Senior Project Engineer,14,180000,95,94
25,Female,Bachelor's Degree,Front end Developer,1,55000,89,60
43,Male,PhD,Senior Project Engineer,13,185000,82,95
35,Male,Bachelor's Degree,Back end Developer,8,140000,73,71
29,Female,Master's Degree,Back end Developer,3,90000,73,97
40,Female,PhD,Senior Software Engineer,12,160000,61,70
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,96,71
41,Male,PhD,Senior Project Engineer,13,185000,64,98
30,Male,Master's Degree,Full Stack Engineer,5,105000,97,66
33,Male,Bachelor's Degree,Front end Developer,6,110000,100,70
55,Male,PhD,Software Engineer Manager,18,210000,73,95
26,Female,Master's Degree,Front end Developer,1,55000,98,90
47,Male,PhD,Senior Project Engineer,16,190000,84,92
44,Female,PhD,Software Engineer Manager,11,165000,79,72
30,Male,Master's Degree,Full Stack Engineer,5,105000,61,77
39,Female,Master's Degree,Senior Software Engineer,11,160000,98,100
32,Male,Bachelor's Degree,Front end Developer,6,110000,65,83
50,Male,PhD,Software Engineer Manager,17,195000,76,68
27,Male,Bachelor's Degree,Back end Developer,3,85000,84,90
46,Male,PhD,Senior Project Engineer,14,180000,87,100
25,Female,Bachelor's Degree,Front end Developer,1,55000,61,69
43,Male,PhD,Senior Project Engineer,13,185000,94,61
35,Male,Bachelor's Degree,Back end Developer,8,140000,96,97
29,Female,Master's Degree,Back end Developer,3,90000,64,74
40,Female,PhD,Senior Software Engineer,12,160000,60,62
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,99,90
41,Male,PhD,Senior Project Engineer,13,185000,71,65
30,Male,Master's Degree,Full Stack Engineer,5,105000,95,62
33,Male,Bachelor's Degree,Front end Developer,6,110000,82,70
55,Male,PhD,Software Engineer Manager,18,210000,90,74
31,Male,Bachelor's Degree,Front end Developer,6,115000,70,87
42,Female,Master's Degree,Software Engineer Manager,13,170000,69,69
27,Female,Bachelor's Degree,Back end Developer,3,80000,62,97
51,Male,PhD,Senior Project Engineer,19,200000,73,66
34,Female,Master's Degree,Full Stack Engineer,7,130000,75,74
38,Male,Bachelor's Degree,Software Engineer Manager,11,155000,69,77
29,Male,Bachelor's Degree,Front end Developer,5,105000,88,77
43,Female,PhD,Senior Project Engineer,14,190000,69,100
36,Male,Master's Degree,Back end Developer,8,140000,71,83
48,Male,PhD,Software Engineer Manager,16,185000,89,61
35,Female,Bachelor's Degree,Full Stack Engineer,8,145000,100,99
30,Female,Master's Degree,Front end Developer,4,90000,60,79
50,Male,PhD,Senior Project Engineer,18,195000,64,93
29,Male,Bachelor's Degree,Back end Developer,4,95000,79,85
41,Male,Master's Degree,Software Engineer Manager,13,170000,67,66
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,71,97
45,Male,PhD,Senior Project Engineer,16,185000,60,89
28,Female,Bachelor's Degree,Front end Developer,2,65000,79,64
39,Female,Master's Degree,Software Engineer Manager,12,160000,87,70
30,Male,Bachelor's Degree,Back end Developer,5,100000,96,60
46,Male,PhD,Senior Project Engineer,15,180000,96,93
25,Female,Bachelor's Degree,Front end Developer,1,55000,71,60
42,Male,PhD,Software Engineer Manager,14,190000,96,78
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,87,61
49,Female,PhD,Senior Project Engineer,17,195000,74,80
36,Male,Master's Degree,Back end Developer,9,150000,65,79
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,79,82
45,Male,PhD,Software Engineer Manager,16,185000,73,80
28,Female,Bachelor's Degree,Front end Developer,2,65000,61,83
39,Female,Master's Degree,Software Engineer Manager,12,160000,68,63
30,Male,Bachelor's Degree,Back end Developer,5,100000,96,71
46,Male,PhD,Senior Project Engineer,15,180000,79,81
25,Female,Bachelor's Degree,Front end Developer,1,55000,85,79
42,Male,PhD,Software Engineer Manager,14,190000,88,77
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,60,60
49,Female,PhD,Senior Project Engineer,17,195000,94,89
36,Male,Master's Degree,Back end Developer,9,150000,65,92
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,96,83
45,Male,PhD,Software Engineer Manager,16,185000,64,73
28,Female,Bachelor's Degree,Front end Developer,2,65000,92,95
39,Female,Master's Degree,Software Engineer Manager,12,160000,73,64
30,Male,Bachelor's Degree,Back end Developer,5,100000,71,70
46,Male,PhD,Senior Project Engineer,15,180000,79,83
25,Female,Bachelor's Degree,Front end Developer,1,55000,83,90
42,Male,PhD,Software Engineer Manager,14,190000,93,72
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,84,75
49,Female,PhD,Senior Project Engineer,17,195000,88,83
36,Male,Master's Degree,Back end Developer,9,150000,98,72
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,90,83
45,Male,PhD,Software Engineer Manager,16,185000,82,85
28,Female,Bachelor's Degree,Front end Developer,2,65000,97,61
39,Female,Master's Degree,Software Engineer Manager,12,160000,79,75
30,Male,Bachelor's Degree,Back end Developer,5,100000,82,97
46,Male,PhD,Senior Project Engineer,15,180000,75,60
25,Female,Bachelor's Degree,Front end Developer,1,55000,67,70
42,Male,PhD,Software Engineer Manager,14,190000,80,94
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,60,88
49,Female,PhD,Senior Project Engineer,17,195000,67,96
36,Male,Master's Degree,Back end Developer,9,150000,88,76
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,91,98
45,Male,PhD,Software Engineer Manager,16,185000,97,87
28,Female,Bachelor's Degree,Front end Developer,2,65000,64,88
39,Female,Master's Degree,Software Engineer Manager,12,160000,81,62
30,Male,Bachelor's Degree,Back end Developer,5,100000,93,69
46,Male,PhD,Senior Project Engineer,15,180000,60,73
25,Female,Bachelor's Degree,Front end Developer,1,55000,85,71
42,Male,PhD,Software Engineer Manager,14,190000,69,89
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,89,91
49,Female,PhD,Senior Project Engineer,17,195000,77,91
36,Male,Master's Degree,Back end Developer,9,150000,76,91
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,85,85
45,Male,PhD,Software Engineer Manager,16,185000,67,60
28,Female,Bachelor's Degree,Front end Developer,2,65000,99,61
39,Female,Master's Degree,Software Engineer Manager,12,160000,71,76
30,Male,Bachelor's Degree,Back end Developer,5,100000,86,89
46,Male,PhD,Senior Project Engineer,15,180000,67,98
25,Female,Bachelor's Degree,Front end Developer,1,55000,84,66
42,Male,PhD,Software Engineer Manager,14,190000,63,86
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,92,68
49,Female,PhD,Senior Project Engineer,17,195000,60,81
36,Male,Master's Degree,Back end Developer,9,150000,78,93
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,90,60
45,Male,PhD,Software Engineer Manager,16,185000,75,68
28,Female,Bachelor's Degree,Front end Developer,2,65000,73,79
39,Female,Master's Degree,Software Engineer Manager,12,160000,64,78
30,Male,Bachelor's Degree,Back end Developer,5,100000,100,95
46,Male,PhD,Senior Project Engineer,15,180000,85,99
25,Female,Bachelor's Degree,Front end Developer,1,55000,87,63
42,Male,PhD,Software Engineer Manager,14,190000,61,68
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,65,100
49,Female,PhD,Senior Project Engineer,17,195000,68,81
36,Male,Master's Degree,Back end Developer,9,150000,92,77
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,100,71
45,Male,PhD,Software Engineer Manager,16,185000,84,98
28,Female,Bachelor's Degree,Front end Developer,2,65000,72,68
39,Female,Master's Degree,Software Engineer Manager,12,160000,68,65
30,Male,Bachelor's Degree,Back end Developer,5,100000,72,78
46,Male,PhD,Senior Project Engineer,15,180000,90,66
25,Female,Bachelor's Degree,Front end Developer,1,55000,100,75
42,Male,PhD,Software Engineer Manager,14,190000,70,64
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,63,75
49,Female,PhD,Senior Project Engineer,17,195000,93,60
36,Male,Master's Degree,Back end Developer,9,150000,97,96
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,63,98
45,Male,PhD,Software Engineer Manager,16,185000,97,78
28,Female,Bachelor's Degree,Front end Developer,2,65000,78,96
39,Female,Master's Degree,Software Engineer Manager,12,160000,65,76
30,Male,Bachelor's Degree,Back end Developer,5,100000,93,85
46,Male,PhD,Senior Project Engineer,15,180000,77,81
25,Female,Bachelor's Degree,Front end Developer,1,55000,72,67
42,Male,PhD,Software Engineer Manager,14,190000,100,92
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,82,61
49,Female,PhD,Senior Project Engineer,17,195000,78,89
36,Male,Master's Degree,Back end Developer,9,150000,70,79
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,60,77
45,Male,PhD,Software Engineer Manager,16,185000,83,69
28,Female,Bachelor's Degree,Front end Developer,2,65000,66,83
39,Female,Master's Degree,Software Engineer Manager,12,160000,84,63
30,Male,Bachelor's Degree,Back end Developer,5,100000,80,96
46,Male,PhD,Senior Project Engineer,15,180000,74,63
25,Female,Bachelor's Degree,Front end Developer,1,550,60,72
29,Male,Bachelor's Degree,Front end Developer,4,90000,71,84
40,Female,Master's Degree,Software Engineer Manager,12,160000,66,72
27,Female,Bachelor's Degree,Back end Developer,3,80000,74,77
50,Male,PhD,Senior Project Engineer,18,195000,80,83
33,Female,Master's Degree,Full Stack Engineer,6,115000,78,61
37,Male,Bachelor's Degree,Software Engineer Manager,10,150000,88,92
28,Male,Bachelor's Degree,Front end Developer,2,65000,84,78
44,Female,PhD,Senior Project Engineer,14,190000,92,68
35,Male,Master's Degree,Back end Developer,8,140000,91,87
47,Male,PhD,Software Engineer Manager,16,185000,94,94
34,Female,Bachelor's Degree,Full Stack Engineer,7,130000,97,98
31,Female,Master's Degree,Front end Developer,5,105000,85,69
51,Male,PhD,Senior Project Engineer,19,200000,70,60
30,Male,Bachelor's Degree,Back end Developer,5,100000,94,80
42,Male,Master's Degree,Software Engineer Manager,13,170000,67,68
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,73,74
45,Male,PhD,Senior Project Engineer,16,185000,69,94
29,Female,Bachelor's Degree,Front end Developer,4,90000,61,64
39,Female,Master's Degree,Software Engineer Manager,12,160000,68,100
27,Male,Bachelor's Degree,Back end Developer,3,80000,62,81
49,Male,PhD,Senior Project Engineer,17,195000,80,100
32,Female,Master's Degree,Full Stack Engineer,6,115000,85,82
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,67,66
27,Male,Bachelor's Degree,Front end Developer,2,65000,61,82
43,Female,PhD,Senior Project Engineer,14,190000,65,84
34,Male,Master's Degree,Back end Developer,8,140000,87,86
46,Male,PhD,Software Engineer Manager,16,185000,88,100
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,85,65
30,Female,Master's Degree,Front end Developer,5,105000,84,93
50,Male,PhD,Senior Project Engineer,19,200000,71,68
30,Male,Bachelor's Degree,Back end Developer,5,100000,64,92
42,Male,Master's Degree,Software Engineer Manager,13,170000,93,65
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,96,96
45,Male,PhD,Senior Project Engineer,16,185000,74,90
29,Female,Bachelor's Degree,Front end Developer,4,90000,95,93
39,Female,Master's Degree,Software Engineer Manager,12,160000,74,100
27,Male,Bachelor's Degree,Back end Developer,3,80000,82,88
49,Male,PhD,Senior Project Engineer,17,195000,65,73
32,Female,Master's Degree,Full Stack Engineer,6,115000,80,95
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,82,95
27,Male,Bachelor's Degree,Front end Developer,2,65000,75,74
43,Female,PhD,Senior Project Engineer,14,190000,74,67
34,Male,Master's Degree,Back end Developer,8,140000,84,85
46,Male,PhD,Software Engineer Manager,16,185000,95,95
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,70,80
30,Female,Master's Degree,Front end Developer,5,105000,74,87
50,Male,PhD,Senior Project Engineer,19,200000,63,63
30,Male,Bachelor's Degree,Back end Developer,5,100000,80,75
42,Male,Master's Degree,Software Engineer Manager,13,170000,72,81
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,81,71
45,Male,PhD,Senior Project Engineer,16,185000,78,75
29,Female,Bachelor's Degree,Front end Developer,4,90000,93,99
39,Female,Master's Degree,Software Engineer Manager,12,160000,73,97
27,Male,Bachelor's Degree,Back end Developer,3,80000,63,96
49,Male,PhD,Senior Project Engineer,17,195000,86,88
32,Female,Master's Degree,Full Stack Engineer,6,115000,88,77
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,87,69
27,Male,Bachelor's Degree,Front end Developer,2,65000,94,98
43,Female,PhD,Senior Project Engineer,14,190000,67,77
34,Male,Master's Degree,Back end Developer,8,140000,75,60
46,Male,PhD,Software Engineer Manager,16,185000,95,98
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,89,80
30,Female,Master's Degree,Front end Developer,5,105000,77,60
50,Male,PhD,Senior Project Engineer,19,200000,61,74
30,Male,Bachelor's Degree,Back end Developer,5,100000,72,63
42,Male,Master's Degree,Software Engineer Manager,13,170000,63,79
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,85,69
45,Male,PhD,Senior Project Engineer,16,185000,84,82
29,Female,Bachelor's Degree,Front end Developer,4,90000,89,100
39,Female,Master's Degree,Software Engineer Manager,12,160000,70,93
27,Male,Bachelor's Degree,Back end Developer,3,80000,66,92
49,Male,PhD,Senior Project Engineer,17,195000,90,93
32,Female,Master's Degree,Full Stack Engineer,6,115000,69,98
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,98,69
27,Male,Bachelor's Degree,Front end Developer,2,65000,72,79
43,Female,PhD,Senior Project Engineer,14,190000,90,60
34,Male,Master's Degree,Back end Developer,8,140000,66,72
46,Male,PhD,Software Engineer Manager,16,185000,95,60
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,79,64
30,Female,Master's Degree,Front end Developer,5,105000,63,75
50,Male,PhD,Senior Project Engineer,19,200000,66,74
30,Male,Bachelor's Degree,Back end Developer,5,100000,60,87
42,Male,Master's Degree,Software Engineer Manager,13,170000,72,90
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,81,82
45,Male,PhD,Senior Project Engineer,16,185000,80,76
29,Female,Bachelor's Degree,Front end Developer,4,90000,81,93
39,Female,Master's Degree,Software Engineer Manager,12,160000,87,72
27,Male,Bachelor's Degree,Back end Developer,3,80000,68,73
49,Male,PhD,Senior Project Engineer,17,195000,85,70
32,Female,Master's Degree,Full Stack Engineer,6,115000,68,87
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,74,91
27,Male,Bachelor's Degree,Front end Developer,2,65000,69,94
43,Female,PhD,Senior Project Engineer,14,190000,83,90
34,Male,Master's Degree,Back end Developer,8,140000,67,76
46,Male,PhD,Software Engineer Manager,16,185000,83,68
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,75,69
30,Female,Master's Degree,Front end Developer,5,105000,85,67
50,Male,PhD,Senior Project Engineer,19,200000,86,80
30,Male,Bachelor's Degree,Back end Developer,5,100000,96,72
42,Male,Master's Degree,Software Engineer Manager,13,170000,63,64
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,83,65
45,Male,PhD,Senior Project Engineer,16,185000,78,89
29,Female,Bachelor's Degree,Front end Developer,4,90000,95,90
39,Female,Master's Degree,Software Engineer Manager,12,160000,98,76
27,Male,Bachelor's Degree,Back end Developer,3,80000,69,70
49,Male,PhD,Senior Project Engineer,17,195000,84,79
32,Female,Master's Degree,Full Stack Engineer,6,115000,77,68
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,78,61
27,Male,Bachelor's Degree,Front end Developer,2,65000,95,96
43,Female,PhD,Senior Project Engineer,14,190000,69,60
34,Male,Master's Degree,Back end Developer,8,140000,92,63
46,Male,PhD,Software Engineer Manager,16,185000,64,95
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,94,84
30,Female,Master's Degree,Front end Developer,5,105000,93,62
50,Male,PhD,Senior Project Engineer,19,200000,92,68
30,Male,Bachelor's Degree,Back end Developer,5,100000,80,81
42,Male,Master's Degree,Software Engineer Manager,13,170000,76,82
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,81,71
45,Male,PhD,Senior Project Engineer,16,185000,96,69
29,Female,Bachelor's Degree,Front end Developer,4,90000,74,93
27,Male,,Developer,7,100000,94,69
31,Female,Bachelor's Degree,Front end Developer,6,110000,87,89
37,Male,Master's Degree,Software Engineer Manager,10,150000,66,81
27,Male,Bachelor's Degree,Back end Developer,3,80000,91,65
50,Male,PhD,Senior Project Engineer,18,195000,70,61
32,Female,Master's Degree,Full Stack Engineer,6,115000,69,89
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,68,61
27,Male,Bachelor's Degree,Front end Developer,2,65000,73,91
43,Female,PhD,Senior Project Engineer,14,190000,72,75
34,Male,Master's Degree,Back end Developer,8,140000,84,71
46,Male,PhD,Software Engineer Manager,16,185000,61,60
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,94,67
30,Female,Master's Degree,Front end Developer,5,105000,66,72
50,Male,PhD,Senior Project Engineer,19,200000,80,74
30,Male,Bachelor's Degree,Back end Developer,5,100000,77,67
42,Male,Master's Degree,Software Engineer Manager,13,170000,62,69
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,98,64
45,Male,PhD,Senior Project Engineer,16,185000,100,78
29,Female,Bachelor's Degree,Front end Developer,4,90000,70,97
39,Female,Master's Degree,Software Engineer Manager,12,160000,98,70
27,Male,Bachelor's Degree,Back end Developer,3,80000,83,79
49,Male,PhD,Senior Project Engineer,17,195000,78,79
32,Female,Master's Degree,Full Stack Engineer,6,115000,63,80
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,85,77
27,Male,Bachelor's Degree,Front end Developer,2,65000,97,69
43,Female,PhD,Senior Project Engineer,14,190000,91,93
34,Male,Master's Degree,Back end Developer,8,140000,98,85
46,Male,PhD,Software Engineer Manager,16,185000,95,89
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,99,68
30,Female,Master's Degree,Front end Developer,5,105000,96,90
50,Male,PhD,Senior Project Engineer,19,200000,92,63
30,Male,Bachelor's Degree,Back end Developer,5,100000,95,65
42,Male,Master's Degree,Software Engineer Manager,13,170000,62,73
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,68,63
45,Male,PhD,Senior Project Engineer,16,185000,67,85
29,Female,Bachelor's Degree,Front end Developer,4,90000,92,98
39,Female,Master's Degree,Software Engineer Manager,12,160000,65,76
27,Male,Bachelor's Degree,Back end Developer,3,80000,100,78
49,Male,PhD,Senior Project Engineer,17,195000,98,65
32,Female,Master's Degree,Full Stack Engineer,6,115000,63,88
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,72,70
27,Male,Bachelor's Degree,Front end Developer,2,65000,61,75
43,Female,PhD,Senior Project Engineer,14,190000,64,89
34,Male,Master's Degree,Back end Developer,8,140000,86,84
46,Male,PhD,Software Engineer Manager,16,185000,91,99
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,80,70
30,Female,Master's Degree,Front end Developer,5,105000,67,66
50,Male,PhD,Senior Project Engineer,19,200000,97,85
30,Male,Bachelor's Degree,Back end Developer,5,100000,67,81
42,Male,Master's Degree,Software Engineer Manager,13,170000,62,84
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,62,78
45,Male,PhD,Senior Project Engineer,16,185000,81,90
29,Female,Bachelor's Degree,Front end Developer,4,90000,65,85
39,Female,Master's Degree,Software Engineer Manager,12,160000,61,100
27,Male,Bachelor's Degree,Back end Developer,3,80000,82,95
49,Male,PhD,Senior Project Engineer,17,195000,61,82
32,Female,Master's Degree,Full Stack Engineer,6,115000,97,72
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,76,84
27,Male,Bachelor's Degree,Front end Developer,2,65000,94,61
43,Female,PhD,Senior Project Engineer,14,190000,93,61
34,Male,Master's Degree,Back end Developer,8,140000,82,75
46,Male,PhD,Software Engineer Manager,16,185000,89,68
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,67,87
30,Female,Master's Degree,Front end Developer,5,105000,81,72
50,Male,PhD,Senior Project Engineer,19,200000,95,94
30,Male,Bachelor's Degree,Back end Developer,5,100000,64,100
42,Male,Master's Degree,Software Engineer Manager,13,170000,72,72
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,88,90
45,Male,PhD,Senior Project Engineer,16,185000,90,80
29,Female,Bachelor's Degree,Front end Developer,4,90000,75,91
39,Female,Master's Degree,Software Engineer Manager,12,160000,89,93
27,Male,Bachelor's Degree,Back end Developer,3,80000,75,67
49,Male,PhD,Senior Project Engineer,17,195000,71,100
32,Female,Master's Degree,Full Stack Engineer,6,115000,76,61
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,75,97
27,Male,Bachelor's Degree,Front end Developer,2,65000,71,91
43,Female,PhD,Senior Project Engineer,14,190000,67,99
34,Male,Master's Degree,Back end Developer,8,140000,79,87
46,Male,PhD,Software Engineer Manager,16,185000,62,96
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,75,100
30,Female,Master's Degree,Front end Developer,5,105000,89,60
50,Male,PhD,Senior Project Engineer,19,200000,82,100
30,Male,Bachelor's Degree,Back end Developer,5,100000,87,69
42,Male,Master's Degree,Software Engineer Manager,13,170000,99,63
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,64,94
45,Male,PhD,Senior Project Engineer,16,185000,79,69
29,Female,Bachelor's Degree,Front end Developer,4,90000,99,70
39,Female,Master's Degree,Software Engineer Manager,12,160000,60,73
27,Male,Bachelor's Degree,Back end Developer,3,80000,89,97
49,Male,PhD,Senior Project Engineer,17,195000,80,71
32,Female,Master's Degree,Full Stack Engineer,6,115000,79,76
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,65,75
27,Male,Bachelor's Degree,Front end Developer,2,65000,81,94
43,Female,PhD,Senior Project Engineer,14,190000,77,61
34,Male,Master's Degree,Back end Developer,8,140000,67,70
46,Male,PhD,Software Engineer Manager,16,185000,98,100
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,91,62
30,Female,Master's Degree,Front end Developer,5,105000,92,88
